canonical,cluster_id,theme_title,x,y
outage remediation,9,Outage Prevention and Recovery,-1.6097,1.5259
incident response,8,Incident Response and Review,-0.4944,0.8918
customer communication,6,Customer Renewal and Retention,-0.1965,2.1802
security monitoring,19,Security and Alerting,-1.1549,5.844
postmortem planning,8,Incident Response and Review,-1.066,0.3902
infrastructure reliability,25,Platform Reliability,-1.4684,2.4712
billing dispute,13,Billing and Pricing Issues,0.294,1.9384
seat overage,13,Billing and Pricing Issues,-0.3023,1.6153
migration cleanup,18,Product and Service Expansion,2.7172,3.5511
identity management,15,Identity and Access Governance,1.1186,5.5522
billing adjustment,13,Billing and Pricing Issues,0.4472,1.9665
provisioning,20,Customer Onboarding and Support,1.1771,4.3369
pipeline reliability,25,Platform Reliability,-1.5508,2.5454
kafka configuration,3,Cloud and Integration Configuration,3.5333,5.3225
sprint planning,21,IT Operations and Deployment,1.8266,4.4618
comply v2 launch,11,Compliance and Governance,2.51,6.6176
resource allocation,21,IT Operations and Deployment,1.4237,4.2015
timeline risk,6,Customer Renewal and Retention,-0.4707,1.7966
iso 27001,15,Identity and Access Governance,0.085,5.8021
compliance reporting,11,Compliance and Governance,2.1996,7.0626
onboarding,20,Customer Onboarding and Support,0.9405,4.3243
healthcare,4,Healthcare Data Security,0.1417,6.2773
multi-framework coverage,11,Compliance and Governance,1.8282,7.4293
audit preparation,12,Audit Compliance Readiness,1.3036,6.3709
renewal,6,Customer Renewal and Retention,0.5661,2.5823
outage,9,Outage Prevention and Recovery,-1.6867,1.37
competitive threat,2,Competitive Strategy,-2.4501,5.8821
compliance,11,Compliance and Governance,2.482,7.1462
cloud expansion,18,Product and Service Expansion,1.9871,3.6364
pricing,13,Billing and Pricing Issues,0.885,1.9151
soc 2 audit,12,Audit Compliance Readiness,1.7633,6.3674
access control,15,Identity and Access Governance,0.2994,4.9414
change management,15,Identity and Access Governance,0.8197,5.4879
incident tracking,8,Incident Response and Review,-0.5549,0.6866
vendor management,15,Identity and Access Governance,0.8133,5.3869
security training,19,Security and Alerting,-0.8957,6.0343
backup performance,14,Data Protection and Recovery,-0.9638,3.9845
agent version update,18,Product and Service Expansion,1.346,3.027
technical issue,24,System Reliability and Support,0.0792,3.0285
customer retention,6,Customer Renewal and Retention,0.0513,2.3742
notification gap,22,Product Maturity Gaps,-2.3237,4.3229
escalation,7,Escalation Process,0.2132,1.306
overage charges,13,Billing and Pricing Issues,-0.178,1.6567
contract negotiation,13,Billing and Pricing Issues,0.9089,1.9147
product add-on,18,Product and Service Expansion,1.6684,3.1558
competitive evaluation,2,Competitive Strategy,-2.4745,5.8495
sla breach,0,Service Level Agreement Management,2.8286,0.6398
launch readiness,18,Product and Service Expansion,1.3551,4.3473
api rate limiting,13,Billing and Pricing Issues,0.7413,2.0629
documentation,15,Identity and Access Governance,0.1537,5.6841
incident impact,8,Incident Response and Review,-0.5107,0.7926
hipaa,10,HIPAA Compliance and Reporting,0.3982,6.6984
churn risk,6,Customer Renewal and Retention,-0.3504,2.0691
vendor review,1,Quality Assurance Review Process,1.3884,1.4072
incident communication,8,Incident Response and Review,-0.4661,1.1793
product outage,9,Outage Prevention and Recovery,-1.7315,1.3515
sla compliance,0,Service Level Agreement Management,2.7873,0.6435
internal monitoring failure,24,System Reliability and Support,-0.8867,2.8105
customer escalation,7,Escalation Process,0.2803,1.4874
feature request,18,Product and Service Expansion,1.2874,3.3949
granular restore,14,Data Protection and Recovery,-0.8159,3.2899
backup and recovery,14,Data Protection and Recovery,-0.743,3.6136
rto compliance,11,Compliance and Governance,2.401,7.3585
aws ebs,3,Cloud and Integration Configuration,3.2794,6.0886
workaround,18,Product and Service Expansion,0.2837,3.3521
platform outage,9,Outage Prevention and Recovery,-1.5501,1.4762
competitive displacement,2,Competitive Strategy,-2.5615,5.8396
post-mortem,8,Incident Response and Review,-1.0785,0.4193
product launch,18,Product and Service Expansion,1.2791,3.3613
