cluster_id,theme_title,canonical,aliases
0,Service Level Agreement Management,sla,
0,Service Level Agreement Management,sla breach,
0,Service Level Agreement Management,sla compliance,
0,Service Level Agreement Management,sla credits,
0,Service Level Agreement Management,sla negotiation,
0,Service Level Agreement Management,sla review,
1,Quality Assurance Review Process,design review,
1,Quality Assurance Review Process,q1 review,
1,Quality Assurance Review Process,qa,
1,Quality Assurance Review Process,qa and testing,
1,Quality Assurance Review Process,qa coverage,
1,Quality Assurance Review Process,qa process,
1,Quality Assurance Review Process,qa sign-off,
1,Quality Assurance Review Process,quarterly business review,
1,Quality Assurance Review Process,vendor review,
2,Competitive Strategy,competitive analysis,
2,Competitive Strategy,competitive displacement,
2,Competitive Strategy,competitive evaluation,
2,Competitive Strategy,competitive intelligence,
2,Competitive Strategy,competitive landscape,
2,Competitive Strategy,competitive positioning,
2,Competitive Strategy,competitive threat,
2,Competitive Strategy,competitor evaluation,
2,Competitive Strategy,win-loss analysis,
3,Cloud and Integration Configuration,api integration,
3,Cloud and Integration Configuration,aws ebs,
3,Cloud and Integration Configuration,aws integration,
3,Cloud and Integration Configuration,aws s3 connector,
3,Cloud and Integration Configuration,baseline configuration,
3,Cloud and Integration Configuration,configuration review,
3,Cloud and Integration Configuration,connector configuration,
3,Cloud and Integration Configuration,entra id integration,
3,Cloud and Integration Configuration,integrations,
3,Cloud and Integration Configuration,kafka configuration,
3,Cloud and Integration Configuration,logvault integration,
3,Cloud and Integration Configuration,okta integration,
3,Cloud and Integration Configuration,okta sso integration,
3,Cloud and Integration Configuration,platform integration,
3,Cloud and Integration Configuration,product integration,
3,Cloud and Integration Configuration,saml certificate rotation,
3,Cloud and Integration Configuration,saml configuration,
3,Cloud and Integration Configuration,siem integration,
3,Cloud and Integration Configuration,ssl certificate,
3,Cloud and Integration Configuration,sso configuration,
3,Cloud and Integration Configuration,sso connectors,
3,Cloud and Integration Configuration,sso integration,
3,Cloud and Integration Configuration,sso outage,
4,Healthcare Data Security,false positives,
4,Healthcare Data Security,health checks,
4,Healthcare Data Security,healthcare,
4,Healthcare Data Security,healthcare data,
4,Healthcare Data Security,healthcare data management,
4,Healthcare Data Security,healthcare security,
5,Multi-Factor Authentication Management,adaptive mfa,
5,Multi-Factor Authentication Management,mfa enforcement,
5,Multi-Factor Authentication Management,mfa failure,
5,Multi-Factor Authentication Management,mfa migration,
5,Multi-Factor Authentication Management,mfa policy,
5,Multi-Factor Authentication Management,mfa policy engine,
5,Multi-Factor Authentication Management,mfa policy exceptions,
6,Customer Renewal and Retention,churn risk,
6,Customer Renewal and Retention,contract renewal,
6,Customer Renewal and Retention,customer churn,
6,Customer Renewal and Retention,customer communication,
6,Customer Renewal and Retention,customer feedback,
6,Customer Renewal and Retention,customer renewals,
6,Customer Renewal and Retention,customer retention,
6,Customer Renewal and Retention,customer retention risk,
6,Customer Renewal and Retention,renewal,
6,Customer Renewal and Retention,renewal risk,
6,Customer Renewal and Retention,timeline risk,
7,Escalation Process,customer escalation,
7,Escalation Process,escalation,
7,Escalation Process,incident escalation,
7,Escalation Process,p1 escalation,
7,Escalation Process,support escalation,
8,Incident Response and Review,incident communication,incident communications
8,Incident Response and Review,incident follow-up,
8,Incident Response and Review,incident impact,
8,Incident Response and Review,incident post-mortem,
8,Incident Response and Review,incident remediation,
8,Incident Response and Review,incident response,
8,Incident Response and Review,incident review,
8,Incident Response and Review,incident risk,
