meeting_id,primary_theme_id,primary_theme_title,primary_theme_audience,all_theme_ids,all_theme_titles,call_type,call_confidence,sentiment_score,overall_sentiment
01KQ03B0303900521BB089CA,8,Incident Response and Review,All,6; 8; 9; 19; 25,Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Security and Alerting; Platform Reliability,support,high,2.4,mixed-negative
01KQ0C1280EDA4E70AAD7C35,13,Billing and Pricing Issues,Sales | Customer Support,13; 15; 18; 20,Billing and Pricing Issues; Identity and Access Governance; Product and Service Expansion; Customer Onboarding and Support,support,high,3.8,mixed-positive
01KQ0CAE7F064EC93F0540CA,21,IT Operations and Deployment,Engineering,3; 6; 11; 21; 25,Cloud and Integration Configuration; Customer Renewal and Retention; Compliance and Governance; IT Operations and Deployment; Platform Reliability,internal,high,3.6,mixed-positive
01KQ0DFE299AC7A74E8022CA,11,Compliance and Governance,All,4; 11; 12; 15; 20,Healthcare Data Security; Compliance and Governance; Audit Compliance Readiness; Identity and Access Governance; Customer Onboarding and Support,external,high,4.8,very-positive
01KQ0F8AFF3DA34FD4580008,6,Customer Renewal and Retention,Sales | Customer Success,2; 6; 9; 11; 13; 18,Competitive Strategy; Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; Billing and Pricing Issues; Product and Service Expansion,external,high,3.4,mixed-positive
01KQ1267C6AA7D9B3125FEC8,15,Identity and Access Governance,All,8; 12; 15; 19,Incident Response and Review; Audit Compliance Readiness; Identity and Access Governance; Security and Alerting,internal,high,3.4,mixed-positive
01KQ1A6B7E81B06F4A13B60D,14,Data Protection and Recovery,All,6; 7; 14; 18; 22; 24,Customer Renewal and Retention; Escalation Process; Data Protection and Recovery; Product and Service Expansion; Product Maturity Gaps; System Reliability and Support,support,high,2.8,mixed-negative
01KQ1DC6CA536DE1B31ED8F5,13,Billing and Pricing Issues,Sales | Customer Support,6; 11; 13; 18,Customer Renewal and Retention; Compliance and Governance; Billing and Pricing Issues; Product and Service Expansion,external,high,3.7,mixed-positive
01KQ1DCC80852AE384C898C9,9,Outage Prevention and Recovery,Engineering,0; 2; 6; 9; 11; 13,Service Level Agreement Management; Competitive Strategy; Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; Billing and Pricing Issues,support,medium,2.4,mixed-negative
01KQ1DE954A807A5D2653175,18,Product and Service Expansion,All,8; 10; 11; 13; 15; 18,Incident Response and Review; HIPAA Compliance and Reporting; Compliance and Governance; Billing and Pricing Issues; Identity and Access Governance; Product and Service Expansion,internal,high,3.6,mixed-positive
01KQ2217B066855A3B7814CB,9,Outage Prevention and Recovery,Engineering,1; 6; 8; 9; 11; 25,Quality Assurance Review Process; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance; Platform Reliability,support,high,2.4,mixed-negative
01KQ2331EFD78BF3B1CAB747,9,Outage Prevention and Recovery,Engineering,0; 6; 7; 8; 9; 24,Service Level Agreement Management; Customer Renewal and Retention; Escalation Process; Incident Response and Review; Outage Prevention and Recovery; System Reliability and Support,internal,high,1.8,negative
01KQ25D8AED944B5D2A9FF60,18,Product and Service Expansion,All,3; 11; 14; 18,Cloud and Integration Configuration; Compliance and Governance; Data Protection and Recovery; Product and Service Expansion,support,high,3.4,mixed-positive
01KQ298F2846EFE59B0D70E2,9,Outage Prevention and Recovery,Engineering,2; 6; 8; 9; 11; 18,Competitive Strategy; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance; Product and Service Expansion,support,high,2.3,mixed-negative
01KQ2B4878EC7B3EE5547007,12,Audit Compliance Readiness,All,3; 11; 12; 15; 18,Cloud and Integration Configuration; Compliance and Governance; Audit Compliance Readiness; Identity and Access Governance; Product and Service Expansion,external,high,4.7,very-positive
01KQ2D93184912F0147315E7,24,System Reliability and Support,All,0; 6; 7; 9; 24,Service Level Agreement Management; Customer Renewal and Retention; Escalation Process; Outage Prevention and Recovery; System Reliability and Support,support,high,1.6,very-negative
01KQ31ED026F745FE2A55CCD,16,Roadmap Planning and Compliance,All,2; 5; 11; 15; 16; 21,Competitive Strategy; Multi-Factor Authentication Management; Compliance and Governance; Identity and Access Governance; Roadmap Planning and Compliance; IT Operations and Deployment,internal,high,4.4,positive
01KQ325BDEDEE927D2970775,19,Security and Alerting,All,0; 8; 9; 19; 20,Service Level Agreement Management; Incident Response and Review; Outage Prevention and Recovery; Security and Alerting; Customer Onboarding and Support,support,high,2.4,mixed-negative
01KQ351E141926AB7CAB668D,6,Customer Renewal and Retention,Sales | Customer Success,0; 6; 8; 9; 11,Service Level Agreement Management; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance,support,high,2.1,mixed-negative
