meeting_id,topic,normalized_topic
01KQ03B0303900521BB089CA,outage remediation,outage remediation
01KQ03B0303900521BB089CA,incident response,incident response
01KQ03B0303900521BB089CA,customer communication,customer communication
01KQ03B0303900521BB089CA,security monitoring,security monitoring
01KQ03B0303900521BB089CA,postmortem planning,postmortem planning
01KQ03B0303900521BB089CA,infrastructure reliability,infrastructure reliability
01KQ0C1280EDA4E70AAD7C35,billing dispute,billing dispute
01KQ0C1280EDA4E70AAD7C35,seat overage,seat overage
01KQ0C1280EDA4E70AAD7C35,migration cleanup,migration cleanup
01KQ0C1280EDA4E70AAD7C35,identity management,identity management
01KQ0C1280EDA4E70AAD7C35,billing adjustment,billing adjustment
01KQ0C1280EDA4E70AAD7C35,provisioning,provisioning
01KQ0CAE7F064EC93F0540CA,pipeline reliability,pipeline reliability
01KQ0CAE7F064EC93F0540CA,kafka configuration,kafka configuration
01KQ0CAE7F064EC93F0540CA,sprint planning,sprint planning
01KQ0CAE7F064EC93F0540CA,comply v2 launch,comply v2 launch
01KQ0CAE7F064EC93F0540CA,resource allocation,resource allocation
01KQ0CAE7F064EC93F0540CA,timeline risk,timeline risk
01KQ0DFE299AC7A74E8022CA,iso 27001,iso 27001
01KQ0DFE299AC7A74E8022CA,compliance reporting,compliance reporting
01KQ0DFE299AC7A74E8022CA,onboarding,onboarding
01KQ0DFE299AC7A74E8022CA,healthcare,healthcare
01KQ0DFE299AC7A74E8022CA,multi-framework coverage,multi-framework coverage
01KQ0DFE299AC7A74E8022CA,audit preparation,audit preparation
01KQ0F8AFF3DA34FD4580008,renewal,renewal
01KQ0F8AFF3DA34FD4580008,outage,outage
01KQ0F8AFF3DA34FD4580008,competitive threat,competitive threat
01KQ0F8AFF3DA34FD4580008,compliance,compliance
01KQ0F8AFF3DA34FD4580008,cloud expansion,cloud expansion
01KQ0F8AFF3DA34FD4580008,pricing,pricing
01KQ1267C6AA7D9B3125FEC8,soc 2 audit,soc 2 audit
01KQ1267C6AA7D9B3125FEC8,access control,access control
01KQ1267C6AA7D9B3125FEC8,change management,change management
01KQ1267C6AA7D9B3125FEC8,incident tracking,incident tracking
01KQ1267C6AA7D9B3125FEC8,vendor management,vendor management
01KQ1267C6AA7D9B3125FEC8,security training,security training
01KQ1A6B7E81B06F4A13B60D,backup performance,backup performance
01KQ1A6B7E81B06F4A13B60D,agent version update,agent version update
01KQ1A6B7E81B06F4A13B60D,technical issue,technical issue
01KQ1A6B7E81B06F4A13B60D,customer retention,customer retention
01KQ1A6B7E81B06F4A13B60D,notification gap,notification gap
01KQ1A6B7E81B06F4A13B60D,escalation,escalation
01KQ1DC6CA536DE1B31ED8F5,renewal,renewal
01KQ1DC6CA536DE1B31ED8F5,billing dispute,billing dispute
01KQ1DC6CA536DE1B31ED8F5,overage charges,overage charges
01KQ1DC6CA536DE1B31ED8F5,compliance,compliance
01KQ1DC6CA536DE1B31ED8F5,contract negotiation,contract negotiation
01KQ1DC6CA536DE1B31ED8F5,product add-on,product add-on
01KQ1DCC80852AE384C898C9,outage,outage
01KQ1DCC80852AE384C898C9,renewal,renewal
01KQ1DCC80852AE384C898C9,compliance,compliance
01KQ1DCC80852AE384C898C9,competitive evaluation,competitive evaluation
01KQ1DCC80852AE384C898C9,pricing,pricing
01KQ1DCC80852AE384C898C9,sla breach,sla breach
01KQ1DE954A807A5D2653175,launch readiness,launch readiness
01KQ1DE954A807A5D2653175,compliance reporting,compliance reporting
01KQ1DE954A807A5D2653175,api rate limiting,api rate limiting
01KQ1DE954A807A5D2653175,documentation,documentation
01KQ1DE954A807A5D2653175,incident impact,incident impact
01KQ1DE954A807A5D2653175,hipaa,hipaa
01KQ2217B066855A3B7814CB,outage,outage
01KQ2217B066855A3B7814CB,churn risk,churn risk
01KQ2217B066855A3B7814CB,infrastructure reliability,infrastructure reliability
01KQ2217B066855A3B7814CB,compliance,compliance
01KQ2217B066855A3B7814CB,vendor review,vendor review
01KQ2217B066855A3B7814CB,incident communication,incident communication
01KQ2331EFD78BF3B1CAB747,product outage,product outage
01KQ2331EFD78BF3B1CAB747,churn risk,churn risk
01KQ2331EFD78BF3B1CAB747,sla compliance,sla compliance
01KQ2331EFD78BF3B1CAB747,incident communication,incident communication
01KQ2331EFD78BF3B1CAB747,internal monitoring failure,internal monitoring failure
01KQ2331EFD78BF3B1CAB747,customer escalation,customer escalation
01KQ25D8AED944B5D2A9FF60,feature request,feature request
01KQ25D8AED944B5D2A9FF60,granular restore,granular restore
01KQ25D8AED944B5D2A9FF60,backup and recovery,backup and recovery
01KQ25D8AED944B5D2A9FF60,rto compliance,rto compliance
01KQ25D8AED944B5D2A9FF60,aws ebs,aws ebs
01KQ25D8AED944B5D2A9FF60,workaround,workaround
01KQ298F2846EFE59B0D70E2,platform outage,platform outage
01KQ298F2846EFE59B0D70E2,competitive displacement,competitive displacement
01KQ298F2846EFE59B0D70E2,customer retention,customer retention
01KQ298F2846EFE59B0D70E2,post-mortem,post-mortem
01KQ298F2846EFE59B0D70E2,product launch,product launch
01KQ298F2846EFE59B0D70E2,compliance,compliance
01KQ2B4878EC7B3EE5547007,compliance automation,compliance automation
01KQ2B4878EC7B3EE5547007,soc 2,soc 2
01KQ2B4878EC7B3EE5547007,iso 27001,iso 27001
01KQ2B4878EC7B3EE5547007,audit preparation,audit preparation
01KQ2B4878EC7B3EE5547007,product demo,product demo
01KQ2B4878EC7B3EE5547007,platform integration,platform integration
01KQ2D93184912F0147315E7,service outage,service outage
01KQ2D93184912F0147315E7,threat monitoring failure,threat monitoring failure
01KQ2D93184912F0147315E7,sla breach,sla breach
01KQ2D93184912F0147315E7,churn risk,churn risk
01KQ2D93184912F0147315E7,incident escalation,incident escalation
01KQ2D93184912F0147315E7,proactive communication failure,proactive communication failure
01KQ31ED026F745FE2A55CCD,roadmap planning,roadmap planning
01KQ31ED026F745FE2A55CCD,identity & access management,identity & access management
01KQ31ED026F745FE2A55CCD,scim / provisioning,scim / provisioning
01KQ31ED026F745FE2A55CCD,adaptive mfa,adaptive mfa
01KQ31ED026F745FE2A55CCD,compliance integration,compliance integration
01KQ31ED026F745FE2A55CCD,competitive landscape,competitive landscape
01KQ325BDEDEE927D2970775,product outage,product outage
01KQ325BDEDEE927D2970775,alert latency,alert latency
01KQ325BDEDEE927D2970775,sla breach,sla breach
01KQ325BDEDEE927D2970775,incident communication,incident communication
01KQ325BDEDEE927D2970775,ot security,ot security
01KQ325BDEDEE927D2970775,service credits,service credits
01KQ351E141926AB7CAB668D,outage,outage
01KQ351E141926AB7CAB668D,compliance,compliance
01KQ351E141926AB7CAB668D,churn risk,churn risk
01KQ351E141926AB7CAB668D,sla review,sla review
01KQ351E141926AB7CAB668D,incident response,incident response
01KQ351E141926AB7CAB668D,renewal,renewal
01KQ38C4101D6774F2F02331,outage,outage
01KQ38C4101D6774F2F02331,pipeline failure,pipeline failure
01KQ38C4101D6774F2F02331,customer escalation,customer escalation
01KQ38C4101D6774F2F02331,incident response,incident response
01KQ38C4101D6774F2F02331,data loss,data loss
01KQ38C4101D6774F2F02331,technical debt,technical debt
01KQ38FE02AEE5AA5157F042,product bug,product bug
01KQ38FE02AEE5AA5157F042,compliance reporting,compliance reporting
01KQ38FE02AEE5AA5157F042,pdf rendering,pdf rendering
01KQ38FE02AEE5AA5157F042,new release issue,new release issue
01KQ38FE02AEE5AA5157F042,audit deadline,audit deadline
01KQ38FE02AEE5AA5157F042,workaround,workaround
01KQ3BD8DEEBC7FECD107F0F,hipaa compliance,hipaa compliance
01KQ3BD8DEEBC7FECD107F0F,compliance reporting,compliance reporting
01KQ3BD8DEEBC7FECD107F0F,proof of concept,proof of concept
01KQ3BD8DEEBC7FECD107F0F,logvault integration,logvault integration
01KQ3BD8DEEBC7FECD107F0F,multi-framework support,multi-framework support
01KQ3BD8DEEBC7FECD107F0F,audit automation,audit automation
01KQ3C837D7EF689408DCF95,aws s3 connector,aws s3 connector
01KQ3C837D7EF689408DCF95,backup failure,backup failure
01KQ3C837D7EF689408DCF95,403 error,403 error
01KQ3C837D7EF689408DCF95,iam permissions,iam permissions
01KQ3C837D7EF689408DCF95,service control policies,service control policies
01KQ3C837D7EF689408DCF95,connector configuration,connector configuration
01KQ3CE40428CCC5FF433FFC,outage post-mortem,outage post-mortem
01KQ3CE40428CCC5FF433FFC,infrastructure reliability,infrastructure reliability
01KQ3CE40428CCC5FF433FFC,customer communication,customer communication
01KQ3CE40428CCC5FF433FFC,product visibility,product visibility
01KQ3CE40428CCC5FF433FFC,roadmap prioritization,roadmap prioritization
01KQ3CE40428CCC5FF433FFC,renewal risk,renewal risk
01KQ3D8C1EF16C042F31FAFD,renewal,renewal
01KQ3D8C1EF16C042F31FAFD,compliance,compliance
01KQ3D8C1EF16C042F31FAFD,outage follow-up,outage follow-up
01KQ3D8C1EF16C042F31FAFD,product upsell,product upsell
01KQ3D8C1EF16C042F31FAFD,pricing,pricing
01KQ3D8C1EF16C042F31FAFD,pci dss,pci dss
01KQ3F90FF9EBC3DB3632514,sprint retrospective,sprint retrospective
01KQ3F90FF9EBC3DB3632514,identity management,identity management
01KQ3F90FF9EBC3DB3632514,sprint planning,sprint planning
01KQ3F90FF9EBC3DB3632514,estimation,estimation
01KQ3F90FF9EBC3DB3632514,scim provisioning,scim provisioning
01KQ3F90FF9EBC3DB3632514,comply integration,comply integration
01KQ410FB7E434BA3F99EE7D,renewal,renewal
01KQ410FB7E434BA3F99EE7D,contract negotiation,contract negotiation
01KQ410FB7E434BA3F99EE7D,api rate limits,api rate limits
01KQ410FB7E434BA3F99EE7D,compliance reporting,compliance reporting
01KQ410FB7E434BA3F99EE7D,platform outage,platform outage
01KQ410FB7E434BA3F99EE7D,competitive displacement,competitive displacement
01KQ41FB5CCFD9EA583FB020,alert tuning,alert tuning
01KQ41FB5CCFD9EA583FB020,false positives,false positives
01KQ41FB5CCFD9EA583FB020,compliance,compliance
01KQ41FB5CCFD9EA583FB020,alert routing,alert routing
01KQ41FB5CCFD9EA583FB020,data retention,data retention
01KQ41FB5CCFD9EA583FB020,financial services,financial services
01KQ445B1B5B890316C9E300,post-mortem follow-up,post-mortem follow-up
01KQ445B1B5B890316C9E300,compliance bug,compliance bug
01KQ445B1B5B890316C9E300,circuit breaker,circuit breaker
01KQ445B1B5B890316C9E300,load testing,load testing
01KQ445B1B5B890316C9E300,incident response,incident response
01KQ445B1B5B890316C9E300,runbook,runbook
01KQ4529010F423FD9DB40BD,win-loss analysis,win-loss analysis
01KQ4529010F423FD9DB40BD,competitive intelligence,competitive intelligence
01KQ4529010F423FD9DB40BD,reliability / outage impact,reliability / outage impact
01KQ4529010F423FD9DB40BD,sales process,sales process
01KQ4529010F423FD9DB40BD,collateral gaps,collateral gaps
01KQ4529010F423FD9DB40BD,q1 review,q1 review
01KQ45C0AD36B351A3571940,compliance,compliance
01KQ45C0AD36B351A3571940,pci dss,pci dss
01KQ45C0AD36B351A3571940,product demo,product demo
01KQ45C0AD36B351A3571940,audit readiness,audit readiness
01KQ45C0AD36B351A3571940,feature request,feature request
01KQ45C0AD36B351A3571940,product integration,product integration
01KQ45C76AF3AEA6B3EA6697,renewal,renewal
01KQ45C76AF3AEA6B3EA6697,outage,outage
01KQ45C76AF3AEA6B3EA6697,sla,sla
01KQ45C76AF3AEA6B3EA6697,compliance,compliance
01KQ45C76AF3AEA6B3EA6697,cmmc,cmmc
01KQ45C76AF3AEA6B3EA6697,competitive threat,competitive threat
01KQ45F6F7349D0A620571F1,churn risk,churn risk
01KQ45F6F7349D0A620571F1,outage post-mortem,outage post-mortem
01KQ45F6F7349D0A620571F1,competitor evaluation,competitor evaluation
01KQ45F6F7349D0A620571F1,alert fatigue,alert fatigue
01KQ45F6F7349D0A620571F1,contract renewal,contract renewal
01KQ45F6F7349D0A620571F1,compliance,compliance
01KQ46A9DE0AECB006D897A0,service outage,service outage
01KQ46A9DE0AECB006D897A0,incident response,incident response
01KQ46A9DE0AECB006D897A0,customer communication,customer communication
01KQ46A9DE0AECB006D897A0,architecture gap,architecture gap
01KQ46A9DE0AECB006D897A0,churn risk,churn risk
01KQ46A9DE0AECB006D897A0,sla compliance,sla compliance
01KQ4D01DCB15C69672AB5AF,onboarding,onboarding
01KQ4D01DCB15C69672AB5AF,compliance,compliance
01KQ4D01DCB15C69672AB5AF,hipaa,hipaa
01KQ4D01DCB15C69672AB5AF,soc 2,soc 2
01KQ4D01DCB15C69672AB5AF,deployment,deployment
01KQ4D01DCB15C69672AB5AF,multi-framework support,multi-framework support
01KQ4D504CE09A8F6ECA1F5A,identity roadmap,identity roadmap
01KQ4D504CE09A8F6ECA1F5A,mfa policy engine,mfa policy engine
01KQ4D504CE09A8F6ECA1F5A,sso connectors,sso connectors
01KQ4D504CE09A8F6ECA1F5A,qa process,qa process
01KQ4D504CE09A8F6ECA1F5A,sprint planning,sprint planning
01KQ4D504CE09A8F6ECA1F5A,infrastructure bottleneck,infrastructure bottleneck
01KQ4D71CDFB1045A2458216,renewal,renewal
01KQ4D71CDFB1045A2458216,compliance,compliance
01KQ4D71CDFB1045A2458216,incident review,incident review
01KQ4D71CDFB1045A2458216,product update,product update
01KQ4D71CDFB1045A2458216,expansion,expansion
01KQ4D71CDFB1045A2458216,healthcare security,healthcare security
01KQ4EE836687F95080D92AB,sprint planning,sprint planning
01KQ4EE836687F95080D92AB,pipeline architecture,pipeline architecture
01KQ4EE836687F95080D92AB,single point of failure,single point of failure
01KQ4EE836687F95080D92AB,ci/cd improvement,ci/cd improvement
01KQ4EE836687F95080D92AB,capacity planning,capacity planning
