meeting_id,cluster_id,generated_cluster_label,title,overall_sentiment,sentiment_score,topics
01KQ03B0303900521BB089CA,6,outage / incident / incident response / failure,Detect Outage - Remediation Plan Review,mixed-negative,2.4,outage remediation; incident response; customer communication; security monitoring; postmortem planning; infrastructure reliability
01KQ0C1280EDA4E70AAD7C35,24,billing / overage / invoice / usage,Support Case #9279 - Summit Trust Billing Inquiry,mixed-positive,3.8,billing dispute; seat overage; migration cleanup; identity management; billing adjustment; provisioning
01KQ0CAE7F064EC93F0540CA,7,sprint / sprint planning / planning / planning sprint,Weekly Engineering Standup,mixed-positive,3.6,pipeline reliability; kafka configuration; sprint planning; comply v2 launch; resource allocation; timeline risk
01KQ0DFE299AC7A74E8022CA,2,preparation / audit preparation / demo / audit,Aegis / Redwood Clinical - ISO 27001 Preparation,very-positive,4.8,iso 27001; compliance reporting; onboarding; healthcare; multi-framework coverage; audit preparation
01KQ0F8AFF3DA34FD4580008,10,renewal / pricing / outage / sla,Aegis / Cobalt Software - Q2 Planning,mixed-positive,3.4,renewal; outage; competitive threat; compliance; cloud expansion; pricing
01KQ1267C6AA7D9B3125FEC8,21,ii / type ii / management / audit,SOC 2 Audit Preparation - Internal,mixed-positive,3.4,soc 2 audit; access control; change management; incident tracking; vendor management; security training
01KQ1A6B7E81B06F4A13B60D,9,backup / performance / agent / degradation,Support Case #6977 - Brightpath Commerce Slow Backup Performance,mixed-negative,2.8,backup performance; agent version update; technical issue; customer retention; notification gap; escalation
01KQ1DC6CA536DE1B31ED8F5,12,overage / charges / overage charges / dispute,Aegis / Atlas Precision - Contract Discussion,mixed-positive,3.7,renewal; billing dispute; overage charges; compliance; contract negotiation; product add-on
01KQ1DCC80852AE384C898C9,10,renewal / pricing / outage / sla,Aegis / Quantum Edge - Renewal Concerns,mixed-negative,2.4,outage; renewal; compliance; competitive evaluation; pricing; sla breach
01KQ1DE954A807A5D2653175,25,api / rate / api rate / launch,Comply v2 - Launch Readiness Review,mixed-positive,3.6,launch readiness; compliance reporting; api rate limiting; documentation; incident impact; hipaa
01KQ2217B066855A3B7814CB,15,outage / communication / incident / incident communication,Aegis / Meridian Capital - Service Reliability Discussion,mixed-negative,2.4,outage; churn risk; infrastructure reliability; compliance; vendor review; incident communication
01KQ2331EFD78BF3B1CAB747,6,outage / incident / incident response / failure,Detect Outage - Customer Impact Assessment,negative,1.8,product outage; churn risk; sla compliance; incident communication; internal monitoring failure; customer escalation
01KQ25D8AED944B5D2A9FF60,17,restore / file / backup / multi region,Support Case #1514 - Meridian Capital Granular Restore Request,mixed-positive,3.4,feature request; granular restore; backup and recovery; rto compliance; aws ebs; workaround
01KQ298F2846EFE59B0D70E2,0,post mortem / mortem / competitive / post,Competitive Threat Assessment - Post Outage,mixed-negative,2.3,platform outage; competitive displacement; customer retention; post-mortem; product launch; compliance
01KQ2B4878EC7B3EE5547007,2,preparation / audit preparation / demo / audit,Aegis / Stratos Cloud - Audit Preparation,very-positive,4.7,compliance automation; soc 2; iso 27001; audit preparation; product demo; platform integration
01KQ2D93184912F0147315E7,6,outage / incident / incident response / failure,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,very-negative,1.6,service outage; threat monitoring failure; sla breach; churn risk; incident escalation; proactive communication failure
01KQ31ED026F745FE2A55CCD,18,scim / provisioning / deprovisioning / scim provisioning,Identity Team - Q2 Roadmap,positive,4.4,roadmap planning; identity & access management; scim / provisioning; adaptive mfa; compliance integration; competitive landscape
01KQ325BDEDEE927D2970775,15,outage / communication / incident / incident communication,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,mixed-negative,2.4,product outage; alert latency; sla breach; incident communication; ot security; service credits
01KQ351E141926AB7CAB668D,6,outage / incident / incident response / failure,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,mixed-negative,2.1,outage; compliance; churn risk; sla review; incident response; renewal
01KQ38C4101D6774F2F02331,6,outage / incident / incident response / failure,INCIDENT: Detect Pipeline Failure - War Room,negative,1.8,outage; pipeline failure; customer escalation; incident response; data loss; technical debt
01KQ38FE02AEE5AA5157F042,8,pdf / export / rendering / pdf export,Support Case #3296 - Pinnacle Insurance Comply v2 Report Formatting Issue,mixed-positive,3.4,product bug; compliance reporting; pdf rendering; new release issue; audit deadline; workaround
01KQ3BD8DEEBC7FECD107F0F,16,hipaa / multi framework / multi / framework,Aegis / Blackridge Investments - HIPAA Compliance Review,very-positive,4.7,hipaa compliance; compliance reporting; proof of concept; logvault integration; multi-framework support; audit automation
01KQ3C837D7EF689408DCF95,1,backup / connector / communication / backup failure,Support Case #2638 - Pineridge Systems CloudPrime S3 Backup Connector,mixed-positive,3.9,aws s3 connector; backup failure; 403 error; iam permissions; service control policies; connector configuration
01KQ3CE40428CCC5FF433FFC,0,post mortem / mortem / competitive / post,Detect Outage - Post-Incident Review,mixed-negative,2.8,outage post-mortem; infrastructure reliability; customer communication; product visibility; roadmap prioritization; renewal risk
01KQ3D8C1EF16C042F31FAFD,10,renewal / pricing / outage / sla,Aegis / Trailhead Marketplace - Renewal Confirmation,positive,4.5,renewal; compliance; outage follow-up; product upsell; pricing; pci dss
01KQ3F90FF9EBC3DB3632514,7,sprint / sprint planning / planning / planning sprint,Identity Team - Sprint Retro,mixed-positive,3.4,sprint retrospective; identity management; sprint planning; estimation; scim provisioning; comply integration
01KQ410FB7E434BA3F99EE7D,25,api / rate / api rate / launch,Aegis / Axiom Labs - Multi-Year Renewal,mixed-positive,4.2,renewal; contract negotiation; api rate limits; compliance reporting; platform outage; competitive displacement
01KQ41FB5CCFD9EA583FB020,22,false / alert / false positives / positives,Aegis / Harborview Banking - Threat Detection Tuning,mixed-positive,3.9,alert tuning; false positives; compliance; alert routing; data retention; financial services
01KQ445B1B5B890316C9E300,23,breaker / circuit / circuit breaker / breaker implementation,Weekly Engineering Standup,mixed-positive,3.5,post-mortem follow-up; compliance bug; circuit breaker; load testing; incident response; runbook
01KQ4529010F423FD9DB40BD,0,post mortem / mortem / competitive / post,Win/Loss Analysis - Q1,mixed-negative,2.4,win-loss analysis; competitive intelligence; reliability / outage impact; sales process; collateral gaps; q1 review
01KQ45C0AD36B351A3571940,2,preparation / audit preparation / demo / audit,Aegis / Silverline Brands - Comply v2 Early Access Demo,very-positive,4.8,compliance; pci dss; product demo; audit readiness; feature request; product integration
01KQ45C76AF3AEA6B3EA6697,10,renewal / pricing / outage / sla,Aegis / Steelpoint Manufacturing - Contract Review,mixed-negative,2.8,renewal; outage; sla; compliance; cmmc; competitive threat
01KQ45F6F7349D0A620571F1,22,false / alert / false positives / positives,Aegis / Brightpath Commerce - Competitive Evaluation,mixed-negative,2.6,churn risk; outage post-mortem; competitor evaluation; alert fatigue; contract renewal; compliance
01KQ46A9DE0AECB006D897A0,6,outage / incident / incident response / failure,Detect Outage - Escalation Bridge,negative,1.8,service outage; incident response; customer communication; architecture gap; churn risk; sla compliance
01KQ4D01DCB15C69672AB5AF,16,hipaa / multi framework / multi / framework,Aegis / Clearwater Medical - Comply v2 Deployment Kickoff,very-positive,4.8,onboarding; compliance; hipaa; soc 2; deployment; multi-framework support
01KQ4D504CE09A8F6ECA1F5A,7,sprint / sprint planning / planning / planning sprint,Product Sync - Identity Roadmap,mixed-positive,3.8,identity roadmap; mfa policy engine; sso connectors; qa process; sprint planning; infrastructure bottleneck
01KQ4D71CDFB1045A2458216,4,renewal / expansion / identity / product update,Aegis / Bridgeport Health - Renewal Finalization,mixed-positive,4.1,renewal; compliance; incident review; product update; expansion; healthcare security
01KQ4EE836687F95080D92AB,7,sprint / sprint planning / planning / planning sprint,Detect Team - Sprint Planning,mixed-positive,3.6,sprint planning; pipeline architecture; single point of failure; ci/cd improvement; capacity planning; sprint retrospective
